LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPastPassive,SyntacticFrame,subject,directObject,sense,reference,domain,range,domainArticle,domainWrittenSingular,domainWrittenPlural,rangeArticle,rangeWrittenSingular,rangeWrittenPlural,passivePreposition
write,verb,scrivere,scrive,ha scritto,,TransitiveFrame,range,domain,1,dbo:writer,dbo:Song,dbo:Person,,,,,,,da
paint,verb,dipingere,dbp:artist,ha dipinto,,TransitiveFrame,range,domain,1,dbo:artist,dbo:ArtWork,dbo:Person,,,,,,,da
win,verb,vincere,vince,ha vinto,,TransitiveFrame,range,domain,1,dbo:award,dbo:Person,dbo:Award,,,,,,,da
found,verb,fondare,fonda,ha fondato,,TransitiveFrame,range,domain,1,dbo:foundedBy,dbo:Organisation,dbo:Person,,,,,,,da
present,verb,presentare,presenta,ha presentato,,TransitiveFrame,range,domain,1,dbo:presenter,dbo:TelevisionShow,dbo:Person,,,,,,,da
perform,verb,suonare,suona,ha suonato,,TransitiveFrame,range,domain,1,dbo:artist,dbo:MusicalWork,dbo:Agent,,,,,,,da
succeed,verb,seguire,segue,ha seguito,,TransitiveFrame,range,domain,1,dbo:successor,dbo:Person,dbo:Person,,,,,,,da
distribute,verb,dsitribuire,distribuisce,ha distribuito,,TransitiveFrame,range,domain,1,dbo:distributor,dbo:TelevisionShow,dbo:Organisation,,,,,,,da
air,verb,trasmettere,trasmette,ha trasmesso,,TransitiveFrame,range,domain,1,dbo:network,dbo:Film,dbo:Broadcaster,,,,,,,da
precede,verb,precedere,precede,ha preceduto,,TransitiveFrame,range,domain,1,dbp:prevTitle,dbo:Album,dbo:Album,,,,,,,da
marry,verb,sposare,sposa,ha sposato,,TransitiveFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,,,,,,,da
own,verb,possedere,possiede,ha posseduto,,TransitiveFrame,range,domain,1,dbo:owner,dbo:Airport,dbo:Agent,,,,,,,da
operate,verb,operare,opera,ha operato,,TransitiveFrame,range,domain,1,dbp:operator,dbo:Airport,dbo:Organisation,,,,,,,da
control,verb,controllare,controlla,ha controllato,,TransitiveFrame,range,domain,1,dbp:controlledby,dbo:Airport,dbo:Organisation,,,,,,,da
illustrate,verb,illustrare,illustra,ha illustrato,,TransitiveFrame,range,domain,1,dbo:illustrator,dbo:WrittenWork,dbo:Person,,,,,,,da
support,verb,supportare,supporta,ha supportato,,TransitiveFrame,range,domain,1,dbo:ideology,dbo:Ideology,dbo:Agent,,,,,,,da
speak,verb,parlare,parla,parlava,,TransitiveFrame,range,domain,1,dbo:officialLanguage,dbo:Language,dbo:PopulatedPlace,,,,,,,da
join,verb,unirsi,si unisce,si è unito,,TransitiveFrame,range,domain,1,dbo:riverMouth,dbo:BodyOfWater,dbo:River,,,,,,,da
create,verb,creare,crea,ha creato,,TransitiveFrame,range,domain,1,dbo:creator,dbo:TelevisionShow,dbo:Agent,,,,,,,da
leave,verb,lasciare,lascia,ha lasciato,,TransitiveFrame,range,domain,1,dbo:formerBandMember,dbo:Band,dbo:Person,,,,,,,da
program,verb,programmare,programma,ha programmato,,TransitiveFrame,range,domain,1,dbp:programmer,dbo:Software,dbo:Person,,,,,,,da
